Instance(0): 	 4.665039 5.473633 0.999611 
Instance(1): 	 4.682617 5.561523 0.996690 
Instance(2): 	 4.647461 5.543945 0.997789 
Instance(3): 	 4.524414 5.543945 0.997579 
Instance(4): 	 4.629883 5.526367 0.998498 
Instance(5): 	 4.612305 5.543945 0.997837 
Instance(6): 	 4.629883 5.420898 0.999911 
Instance(7): 	 4.717773 5.473633 0.999635 
Instance(8): 	 4.594727 5.561523 0.996995 
Instance(9): 	 4.506836 5.649414 0.989452 
Instance(10): 	 4.735352 5.473633 0.999642 
Instance(11): 	 4.524414 5.596680 0.994699 
Instance(12): 	 4.612305 5.737305 0.965973 
Instance(13): 	 4.436523 5.526367 0.996037 
Instance(14): 	 4.506836 5.473633 0.998885 
Instance(15): 	 4.770508 5.526367 0.998346 
Instance(16): 	 4.612305 5.508789 0.998980 
Instance(17): 	 4.665039 5.579102 0.995482 
Instance(18): 	 4.541992 5.491211 0.999057 
Instance(19): 	 4.489258 5.491211 0.998344 
Instance(20): 	 4.418945 5.456055 0.995836 
Instance(21): 	 4.770508 5.385742 0.999993 
Instance(22): 	 4.700195 5.508789 0.998996 
Instance(23): 	 4.717773 5.561523 0.996505 
Instance(24): 	 4.682617 5.491211 0.999371 
Instance(25): 	 4.489258 5.403320 0.998913 
Instance(26): 	 4.682617 5.526367 0.998461 
Instance(27): 	 4.401367 5.526367 0.994088 
Instance(28): 	 4.788086 5.543945 0.997370 
Instance(29): 	 4.717773 5.561523 0.996505 
Instance(30): 	 4.682617 5.491211 0.999371 
Instance(31): 	 4.401367 5.438477 0.994519 
Instance(32): 	 4.489258 5.614258 0.993097 
Instance(33): 	 4.594727 5.614258 0.992769 
Instance(34): 	 4.559570 5.526367 0.998390 
Instance(35): 	 4.506836 5.561523 0.996670 
Instance(36): 	 4.629883 5.596680 0.994206 
Instance(37): 	 4.665039 5.508789 0.999001 
Instance(38): 	 4.383789 5.456055 0.992991 
Instance(39): 	 4.559570 5.526367 0.998390 
Instance(40): 	 4.577148 5.579102 0.995950 
Instance(41): 	 4.629883 5.526367 0.998498 
Instance(42): 	 4.647461 5.543945 0.997789 
Instance(43): 	 4.559570 5.561523 0.996993 
Instance(44): 	 4.418945 5.649414 0.988544 
Instance(45): 	 4.735352 5.508789 0.998986 
Instance(46): 	 4.594727 5.561523 0.996995 
Instance(47): 	 4.436523 5.596680 0.993291 
Instance(48): 	 4.506836 5.614258 0.993205 
Instance(49): 	 4.788086 5.561523 0.996041 
Instance(50): 	 4.647461 5.438477 0.999861 
Instance(51): 	 4.647461 5.543945 0.997789 
Instance(52): 	 4.577148 5.543945 0.997828 
Instance(53): 	 4.629883 5.456055 0.999745 
Instance(54): 	 4.541992 5.491211 0.999057 
Instance(55): 	 4.594727 5.561523 0.996995 
Instance(56): 	 4.471680 5.473633 0.998112 
Instance(57): 	 4.805664 5.543945 0.997298 
Instance(58): 	 4.489258 5.420898 0.998872 
Instance(59): 	 4.770508 5.403320 0.999981 
Instance(60): 	 4.647461 5.473633 0.999600 
Instance(61): 	 4.647461 5.473633 0.999600 
Instance(62): 	 4.700195 5.491211 0.999376 
Instance(63): 	 4.541992 5.473633 0.999288 
Instance(64): 	 4.489258 5.596680 0.994448 
Instance(65): 	 4.665039 5.543945 0.997752 
Instance(66): 	 4.629883 5.579102 0.995722 
Instance(67): 	 4.612305 5.579102 0.995819 
Instance(68): 	 4.331055 5.596680 0.985957 
Instance(69): 	 4.665039 5.614258 0.991740 
Instance(70): 	 4.471680 5.420898 0.998394 
Instance(71): 	 4.700195 5.508789 0.998996 
Instance(72): 	 4.489258 5.526367 0.997646 
Instance(73): 	 4.506836 5.438477 0.999148 
Instance(74): 	 4.454102 5.473633 0.997523 
Instance(75): 	 4.647461 5.473633 0.999600 
Instance(76): 	 4.594727 5.508789 0.998954 
Instance(77): 	 4.418945 5.596680 0.992615 
Instance(78): 	 4.647461 5.719727 0.968788 
Instance(79): 	 4.752930 5.456055 0.999809 
Instance(80): 	 4.612305 5.526367 0.998497 
Instance(81): 	 4.506836 5.631836 0.991496 
Instance(82): 	 4.454102 5.438477 0.997714 
Instance(83): 	 4.717773 5.543945 0.997613 
Instance(84): 	 4.401367 5.543945 0.993730 
Instance(85): 	 4.700195 5.526367 0.998442 
Instance(86): 	 4.700195 5.543945 0.997663 
Instance(87): 	 4.524414 5.473633 0.999121 
Instance(88): 	 4.823242 5.491211 0.999404 
Instance(89): 	 4.577148 5.614258 0.992950 
Instance(90): 	 4.418945 5.543945 0.994762 
Instance(91): 	 4.717773 5.491211 0.999380 
Instance(92): 	 4.594727 5.543945 0.997842 
Instance(93): 	 4.717773 5.491211 0.999380 
Instance(94): 	 4.647461 5.561523 0.996845 
Instance(95): 	 4.559570 5.543945 0.997786 
Instance(96): 	 4.594727 5.579102 0.995897 
Instance(97): 	 4.752930 5.491211 0.999388 
Instance(98): 	 4.577148 5.438477 0.999748 
Instance(99): 	 4.524414 5.403320 0.999513 
Instance(100): 	 4.665039 5.508789 0.999001 
