Instance(0): 	 4.489258 5.368164 0.998947 
Instance(1): 	 4.735352 5.385742 0.999990 
Instance(2): 	 4.823242 5.420898 0.999967 
Instance(3): 	 4.788086 5.350586 0.999999 
Instance(4): 	 4.875977 5.491211 0.999419 
Instance(5): 	 4.840820 5.491211 0.999409 
Instance(6): 	 4.647461 5.438477 0.999861 
Instance(7): 	 4.770508 5.438477 0.999908 
Instance(8): 	 4.612305 5.385742 0.999956 
Instance(9): 	 4.700195 5.456055 0.999788 
Instance(10): 	 4.788086 5.456055 0.999824 
Instance(11): 	 4.840820 5.420898 0.999971 
Instance(12): 	 4.682617 5.385742 0.999985 
Instance(13): 	 4.823242 5.403320 0.999987 
Instance(14): 	 4.594727 5.420898 0.999864 
Instance(15): 	 4.682617 5.456055 0.999780 
Instance(16): 	 4.805664 5.420898 0.999964 
Instance(17): 	 4.788086 5.438477 0.999913 
Instance(18): 	 4.717773 5.368164 0.999995 
Instance(19): 	 4.629883 5.420898 0.999911 
Instance(20): 	 4.665039 5.420898 0.999930 
Instance(21): 	 4.770508 5.368164 0.999997 
Instance(22): 	 4.770508 5.403320 0.999981 
Instance(23): 	 4.700195 5.403320 0.999971 
Instance(24): 	 4.700195 5.491211 0.999376 
Instance(25): 	 4.770508 5.438477 0.999908 
Instance(26): 	 4.717773 5.438477 0.999891 
Instance(27): 	 4.788086 5.438477 0.999913 
Instance(28): 	 4.665039 5.420898 0.999930 
Instance(29): 	 4.612305 5.403320 0.999932 
Instance(30): 	 4.682617 5.368164 0.999993 
Instance(31): 	 4.647461 5.438477 0.999861 
Instance(32): 	 4.893555 5.473633 0.999714 
Instance(33): 	 4.665039 5.473633 0.999611 
Instance(34): 	 4.823242 5.456055 0.999839 
Instance(35): 	 4.735352 5.403320 0.999977 
Instance(36): 	 4.700195 5.491211 0.999376 
Instance(37): 	 4.770508 5.403320 0.999981 
Instance(38): 	 4.770508 5.420898 0.999957 
Instance(39): 	 4.735352 5.456055 0.999802 
Instance(40): 	 4.752930 5.368164 0.999997 
Instance(41): 	 4.735352 5.456055 0.999802 
Instance(42): 	 4.788086 5.350586 0.999999 
Instance(43): 	 4.823242 5.385742 0.999996 
Instance(44): 	 4.770508 5.526367 0.998346 
Instance(45): 	 4.717773 5.403320 0.999974 
Instance(46): 	 4.700195 5.420898 0.999941 
Instance(47): 	 4.682617 5.385742 0.999985 
Instance(48): 	 4.647461 5.403320 0.999958 
Instance(49): 	 4.735352 5.420898 0.999949 
Instance(50): 	 4.805664 5.438477 0.999919 
Instance(51): 	 4.735352 5.368164 0.999996 
Instance(52): 	 4.700195 5.315430 1.000000 
Instance(53): 	 4.752930 5.385742 0.999991 
Instance(54): 	 4.700195 5.438477 0.999885 
Instance(55): 	 4.700195 5.579102 0.995192 
Instance(56): 	 4.770508 5.420898 0.999957 
Instance(57): 	 4.770508 5.403320 0.999981 
Instance(58): 	 4.735352 5.385742 0.999990 
Instance(59): 	 4.858398 5.368164 0.999999 
Instance(60): 	 4.752930 5.438477 0.999902 
Instance(61): 	 4.717773 5.403320 0.999974 
Instance(62): 	 4.647461 5.315430 0.999997 
Instance(63): 	 4.682617 5.473633 0.999620 
Instance(64): 	 4.735352 5.385742 0.999990 
Instance(65): 	 4.629883 5.508789 0.998994 
Instance(66): 	 4.788086 5.420898 0.999960 
Instance(67): 	 4.700195 5.333008 0.999999 
Instance(68): 	 4.788086 5.368164 0.999998 
Instance(69): 	 4.858398 5.420898 0.999974 
Instance(70): 	 4.770508 5.456055 0.999816 
Instance(71): 	 4.700195 5.491211 0.999376 
Instance(72): 	 4.770508 5.473633 0.999657 
Instance(73): 	 4.823242 5.420898 0.999967 
Instance(74): 	 4.788086 5.438477 0.999913 
Instance(75): 	 4.682617 5.473633 0.999620 
Instance(76): 	 4.770508 5.438477 0.999908 
Instance(77): 	 4.840820 5.491211 0.999409 
