Instance(0): 	 2.133789 3.838867 0.732918 
Instance(1): 	 2.133789 3.874023 0.723702 
Instance(2): 	 2.309570 3.838867 0.763331 
Instance(3): 	 2.274414 3.786133 0.786288 
Instance(4): 	 2.186523 3.803711 0.758567 
Instance(5): 	 2.116211 3.944336 0.697363 
Instance(6): 	 2.186523 3.786133 0.763102 
Instance(7): 	 2.274414 3.838867 0.762097 
Instance(8): 	 2.186523 3.803711 0.758567 
Instance(9): 	 2.274414 3.733398 0.805878 
Instance(10): 	 2.133789 3.997070 0.678987 
Instance(11): 	 2.186523 3.803711 0.758567 
Instance(12): 	 2.239258 3.803711 0.772406 
Instance(13): 	 2.256836 3.750977 0.795180 
Instance(14): 	 2.221680 3.768555 0.779288 
Instance(15): 	 2.133789 3.874023 0.723702 
Instance(16): 	 2.151367 3.803711 0.746748 
Instance(17): 	 2.186523 3.821289 0.753501 
Instance(18): 	 2.151367 3.821289 0.742832 
Instance(19): 	 2.362305 3.838867 0.759846 
Instance(20): 	 2.274414 3.750977 0.799918 
Instance(21): 	 2.168945 3.821289 0.748410 
Instance(22): 	 2.168945 3.838867 0.743416 
Instance(23): 	 1.958008 4.014648 0.642671 
Instance(24): 	 2.063477 3.926758 0.690724 
Instance(25): 	 2.274414 3.733398 0.805878 
Instance(26): 	 2.239258 3.821289 0.765551 
Instance(27): 	 2.010742 3.979492 0.664095 
Instance(28): 	 2.151367 3.856445 0.733481 
Instance(29): 	 2.204102 3.821289 0.758074 
Instance(30): 	 2.151367 3.803711 0.746748 
Instance(31): 	 2.204102 3.803711 0.763729 
Instance(32): 	 2.204102 3.803711 0.763729 
Instance(33): 	 2.221680 3.821289 0.762100 
Instance(34): 	 2.010742 3.997070 0.659823 
Instance(35): 	 2.309570 3.768555 0.799588 
Instance(36): 	 2.204102 3.803711 0.763729 
Instance(37): 	 2.133789 3.909180 0.712723 
Instance(38): 	 2.151367 3.909180 0.716078 
Instance(39): 	 2.098633 3.891602 0.709307 
Instance(40): 	 2.116211 3.856445 0.723159 
Instance(41): 	 2.291992 3.750977 0.804016 
Instance(42): 	 2.239258 3.891602 0.733796 
Instance(43): 	 2.186523 3.821289 0.753501 
Instance(44): 	 2.204102 3.821289 0.758074 
Instance(45): 	 2.151367 3.838867 0.738401 
Instance(46): 	 2.045898 3.944336 0.681681 
Instance(47): 	 2.081055 3.874023 0.707870 
Instance(48): 	 2.168945 3.821289 0.748410 
Instance(49): 	 2.221680 3.821289 0.762100 
Instance(50): 	 2.221680 3.856445 0.748192 
Instance(51): 	 2.221680 3.768555 0.779288 
Instance(52): 	 2.239258 3.768555 0.784580 
Instance(53): 	 2.239258 3.891602 0.733796 
Instance(54): 	 2.221680 3.803711 0.768352 
Instance(55): 	 2.204102 3.750977 0.777441 
Instance(56): 	 2.098633 3.891602 0.709307 
Instance(57): 	 2.098633 3.944336 0.694070 
Instance(58): 	 2.133789 3.856445 0.728544 
Instance(59): 	 2.291992 3.838867 0.763056 
Instance(60): 	 2.204102 3.821289 0.758074 
Instance(61): 	 2.186523 3.786133 0.763102 
Instance(62): 	 2.168945 3.838867 0.743416 
Instance(63): 	 2.186523 3.856445 0.741899 
Instance(64): 	 2.291992 3.680664 0.826736 
Instance(65): 	 2.239258 3.768555 0.784580 
Instance(66): 	 2.291992 3.838867 0.763056 
Instance(67): 	 2.186523 3.856445 0.741899 
Instance(68): 	 2.274414 3.733398 0.805878 
Instance(69): 	 2.151367 3.838867 0.738401 
Instance(70): 	 2.239258 3.961914 0.696684 
Instance(71): 	 2.081055 3.926758 0.695332 
Instance(72): 	 2.168945 3.874023 0.732019 
Instance(73): 	 2.256836 3.698242 0.809185 
Instance(74): 	 2.221680 3.786133 0.774092 
Instance(75): 	 2.133789 3.803711 0.740153 
Instance(76): 	 2.256836 3.750977 0.795180 
Instance(77): 	 2.204102 3.786133 0.768862 
Instance(78): 	 2.204102 3.856445 0.745325 
Instance(79): 	 2.010742 3.997070 0.659823 
Instance(80): 	 2.256836 3.750977 0.795180 
Instance(81): 	 2.133789 3.891602 0.718419 
Instance(82): 	 2.239258 3.750977 0.789833 
Instance(83): 	 2.204102 3.909180 0.723075 
Instance(84): 	 2.186523 3.838867 0.747935 
Instance(85): 	 2.274414 3.821289 0.770612 
Instance(86): 	 2.291992 3.768555 0.796820 
Instance(87): 	 2.116211 3.874023 0.718845 
Instance(88): 	 2.291992 3.786133 0.789089 
Instance(89): 	 2.204102 3.821289 0.758074 
Instance(90): 	 2.239258 3.821289 0.765551 
Instance(91): 	 2.186523 3.750977 0.770464 
Instance(92): 	 2.291992 3.750977 0.804016 
Instance(93): 	 2.274414 3.715820 0.811223 
